r1_low,r1_high,r2_low,r2_high,observed_count,expected_probability,expected_count,standardized_residual
0.0,0.02,0.0,0.02,0,0.0,0.0,nan
0.0,0.02,0.02,0.04,0,0.0,0.0,nan
0.0,0.02,0.04,0.06,0,0.0,0.0,nan
0.0,0.02,0.06,0.08,0,0.0,0.0,nan
0.0,0.02,0.08,0.1,0,0.0,0.0,nan
0.0,0.02,0.1,0.12,0,0.0,0.0,nan
0.0,0.02,0.12,0.14,0,0.0,0.0,nan
0.0,0.02,0.14,0.16,0,0.0,0.0,nan
0.0,0.02,0.16,0.18,0,0.0,0.0,nan
0.0,0.02,0.18,0.2,0,0.0,0.0,nan
0.0,0.02,0.2,0.22,0,0.0,0.0,nan
0.0,0.02,0.22,0.24,0,0.0,0.0,nan
0.0,0.02,0.24,0.26,0,0.0,0.0,nan
0.0,0.02,0.26,0.28,0,0.0,0.0,nan
0.0,0.02,0.28,0.3,0,0.0,0.0,nan
0.0,0.02,0.3,0.32,0,0.0,0.0,nan
0.0,0.02,0.32,0.34,0,0.0,0.0,nan
0.0,0.02,0.34,0.36,0,0.0,0.0,nan
0.0,0.02,0.36,0.38,0,0.0,0.0,nan
0.0,0.02,0.38,0.4,0,0.0,0.0,nan
0.0,0.02,0.4,0.42,0,0.0,0.0,nan
0.0,0.02,0.42,0.44,0,0.0,0.0,nan
0.0,0.02,0.44,0.46,0,0.0,0.0,nan
0.0,0.02,0.46,0.48,0,0.0,0.0,nan
0.0,0.02,0.48,0.5,0,0.0,0.0,nan
0.0,0.02,0.5,0.52,0,0.0,0.0,nan
0.0,0.02,0.52,0.54,0,0.0,0.0,nan
0.0,0.02,0.54,0.56,0,0.0,0.0,nan
0.0,0.02,0.56,0.58,0,0.0,0.0,nan
0.0,0.02,0.58,0.6,0,0.0,0.0,nan
0.0,0.02,0.6,0.62,0,0.0,0.0,nan
0.0,0.02,0.62,0.64,0,0.0,0.0,nan
0.0,0.02,0.64,0.66,0,0.0,0.0,nan
0.0,0.02,0.66,0.68,0,0.0,0.0,nan
0.0,0.02,0.68,0.7000000000000001,0,0.0,0.0,nan
0.0,0.02,0.7000000000000001,0.72,0,0.0,0.0,nan
0.0,0.02,0.72,0.74,0,0.0,0.0,nan
0.0,0.02,0.74,0.76,0,0.0,0.0,nan
0.0,0.02,0.76,0.78,0,0.0,0.0,nan
0.0,0.02,0.78,0.8,0,0.0,0.0,nan
0.0,0.02,0.8,0.8200000000000001,0,0.0,0.0,nan
0.0,0.02,0.8200000000000001,0.84,0,0.0,0.0,nan
0.0,0.02,0.84,0.86,0,0.0,0.0,nan
0.0,0.02,0.86,0.88,0,0.0,0.0,nan
0.0,0.02,0.88,0.9,0,0.0,0.0,nan
0.0,0.02,0.9,0.92,0,0.0,0.0,nan
0.0,0.02,0.92,0.9400000000000001,0,0.0,0.0,nan
0.0,0.02,0.9400000000000001,0.96,0,0.0,0.0,nan
0.0,0.02,0.96,0.98,0,0.0,0.0,nan
0.0,0.02,0.98,1.0,29,0.00036030204650625843,36.03020465062584,-1.1712095451326263
0.02,0.04,0.0,0.02,0,0.0,0.0,nan
0.02,0.04,0.02,0.04,0,0.0,0.0,nan
0.02,0.04,0.04,0.06,0,0.0,0.0,nan
0.02,0.04,0.06,0.08,0,0.0,0.0,nan
0.02,0.04,0.08,0.1,0,0.0,0.0,nan
0.02,0.04,0.1,0.12,0,0.0,0.0,nan
0.02,0.04,0.12,0.14,0,0.0,0.0,nan
0.02,0.04,0.14,0.16,0,0.0,0.0,nan
0.02,0.04,0.16,0.18,0,0.0,0.0,nan
0.02,0.04,0.18,0.2,0,0.0,0.0,nan
0.02,0.04,0.2,0.22,0,0.0,0.0,nan
0.02,0.04,0.22,0.24,0,0.0,0.0,nan
0.02,0.04,0.24,0.26,0,0.0,0.0,nan
0.02,0.04,0.26,0.28,0,0.0,0.0,nan
0.02,0.04,0.28,0.3,0,0.0,0.0,nan
0.02,0.04,0.3,0.32,0,0.0,0.0,nan
0.02,0.04,0.32,0.34,0,0.0,0.0,nan
0.02,0.04,0.34,0.36,0,0.0,0.0,nan
0.02,0.04,0.36,0.38,0,0.0,0.0,nan
0.02,0.04,0.38,0.4,0,0.0,0.0,nan
0.02,0.04,0.4,0.42,0,0.0,0.0,nan
0.02,0.04,0.42,0.44,0,0.0,0.0,nan
0.02,0.04,0.44,0.46,0,0.0,0.0,nan
0.02,0.04,0.46,0.48,0,0.0,0.0,nan
0.02,0.04,0.48,0.5,0,0.0,0.0,nan
0.02,0.04,0.5,0.52,0,0.0,0.0,nan
0.02,0.04,0.52,0.54,0,0.0,0.0,nan
0.02,0.04,0.54,0.56,0,0.0,0.0,nan
0.02,0.04,0.56,0.58,0,0.0,0.0,nan
0.02,0.04,0.58,0.6,0,0.0,0.0,nan
0.02,0.04,0.6,0.62,0,0.0,0.0,nan
0.02,0.04,0.62,0.64,0,0.0,0.0,nan
0.02,0.04,0.64,0.66,0,0.0,0.0,nan
0.02,0.04,0.66,0.68,0,0.0,0.0,nan
0.02,0.04,0.68,0.7000000000000001,0,0.0,0.0,nan
0.02,0.04,0.7000000000000001,0.72,0,0.0,0.0,nan
0.02,0.04,0.72,0.74,0,0.0,0.0,nan
0.02,0.04,0.74,0.76,0,0.0,0.0,nan
0.02,0.04,0.76,0.78,0,0.0,0.0,nan
0.02,0.04,0.78,0.8,0,0.0,0.0,nan
0.02,0.04,0.8,0.8200000000000001,0,0.0,0.0,nan
0.02,0.04,0.8200000000000001,0.84,0,0.0,0.0,nan
0.02,0.04,0.84,0.86,0,0.0,0.0,nan
0.02,0.04,0.86,0.88,0,0.0,0.0,nan
0.02,0.04,0.88,0.9,0,0.0,0.0,nan
0.02,0.04,0.9,0.92,0,0.0,0.0,nan
0.02,0.04,0.92,0.9400000000000001,0,0.0,0.0,nan
0.02,0.04,0.9400000000000001,0.96,0,0.0,0.0,nan
0.02,0.04,0.96,0.98,39,0.0003601728520242664,36.017285202426635,0.49699983137695875
0.02,0.04,0.98,1.0,66,0.0007597594272724298,75.97594272724298,-1.144500267057472
0.04,0.06,0.0,0.02,0,0.0,0.0,nan
0.04,0.06,0.02,0.04,0,0.0,0.0,nan
0.04,0.06,0.04,0.06,0,0.0,0.0,nan
0.04,0.06,0.06,0.08,0,0.0,0.0,nan
0.04,0.06,0.08,0.1,0,0.0,0.0,nan
0.04,0.06,0.1,0.12,0,0.0,0.0,nan
0.04,0.06,0.12,0.14,0,0.0,0.0,nan
0.04,0.06,0.14,0.16,0,0.0,0.0,nan
0.04,0.06,0.16,0.18,0,0.0,0.0,nan
0.04,0.06,0.18,0.2,0,0.0,0.0,nan
0.04,0.06,0.2,0.22,0,0.0,0.0,nan
0.04,0.06,0.22,0.24,0,0.0,0.0,nan
0.04,0.06,0.24,0.26,0,0.0,0.0,nan
0.04,0.06,0.26,0.28,0,0.0,0.0,nan
0.04,0.06,0.28,0.3,0,0.0,0.0,nan
0.04,0.06,0.3,0.32,0,0.0,0.0,nan
0.04,0.06,0.32,0.34,0,0.0,0.0,nan
0.04,0.06,0.34,0.36,0,0.0,0.0,nan
0.04,0.06,0.36,0.38,0,0.0,0.0,nan
0.04,0.06,0.38,0.4,0,0.0,0.0,nan
0.04,0.06,0.4,0.42,0,0.0,0.0,nan
0.04,0.06,0.42,0.44,0,0.0,0.0,nan
0.04,0.06,0.44,0.46,0,0.0,0.0,nan
0.04,0.06,0.46,0.48,0,0.0,0.0,nan
0.04,0.06,0.48,0.5,0,0.0,0.0,nan
0.04,0.06,0.5,0.52,0,0.0,0.0,nan
0.04,0.06,0.52,0.54,0,0.0,0.0,nan
0.04,0.06,0.54,0.56,0,0.0,0.0,nan
0.04,0.06,0.56,0.58,0,0.0,0.0,nan
0.04,0.06,0.58,0.6,0,0.0,0.0,nan
0.04,0.06,0.6,0.62,0,0.0,0.0,nan
0.04,0.06,0.62,0.64,0,0.0,0.0,nan
0.04,0.06,0.64,0.66,0,0.0,0.0,nan
0.04,0.06,0.66,0.68,0,0.0,0.0,nan
0.04,0.06,0.68,0.7000000000000001,0,0.0,0.0,nan
0.04,0.06,0.7000000000000001,0.72,0,0.0,0.0,nan
0.04,0.06,0.72,0.74,0,0.0,0.0,nan
0.04,0.06,0.74,0.76,0,0.0,0.0,nan
0.04,0.06,0.76,0.78,0,0.0,0.0,nan
0.04,0.06,0.78,0.8,0,0.0,0.0,nan
0.04,0.06,0.8,0.8200000000000001,0,0.0,0.0,nan
0.04,0.06,0.8200000000000001,0.84,0,0.0,0.0,nan
0.04,0.06,0.84,0.86,0,0.0,0.0,nan
0.04,0.06,0.86,0.88,0,0.0,0.0,nan
0.04,0.06,0.88,0.9,0,0.0,0.0,nan
0.04,0.06,0.9,0.92,0,0.0,0.0,nan
0.04,0.06,0.92,0.9400000000000001,0,0.0,0.0,nan
0.04,0.06,0.9400000000000001,0.96,43,0.00040417724464601723,40.417724464601726,0.40617823798953495
0.04,0.06,0.96,0.98,73,0.0007287844127350711,72.87844127350711,0.014239233240355316
0.04,0.06,0.98,1.0,87,0.000791788503170936,79.1788503170936,0.8789537064590944
0.06,0.08,0.0,0.02,0,0.0,0.0,nan
0.06,0.08,0.02,0.04,0,0.0,0.0,nan
0.06,0.08,0.04,0.06,0,0.0,0.0,nan
0.06,0.08,0.06,0.08,0,0.0,0.0,nan
0.06,0.08,0.08,0.1,0,0.0,0.0,nan
0.06,0.08,0.1,0.12,0,0.0,0.0,nan
0.06,0.08,0.12,0.14,0,0.0,0.0,nan
0.06,0.08,0.14,0.16,0,0.0,0.0,nan
0.06,0.08,0.16,0.18,0,0.0,0.0,nan
0.06,0.08,0.18,0.2,0,0.0,0.0,nan
0.06,0.08,0.2,0.22,0,0.0,0.0,nan
0.06,0.08,0.22,0.24,0,0.0,0.0,nan
0.06,0.08,0.24,0.26,0,0.0,0.0,nan
0.06,0.08,0.26,0.28,0,0.0,0.0,nan
0.06,0.08,0.28,0.3,0,0.0,0.0,nan
0.06,0.08,0.3,0.32,0,0.0,0.0,nan
0.06,0.08,0.32,0.34,0,0.0,0.0,nan
0.06,0.08,0.34,0.36,0,0.0,0.0,nan
0.06,0.08,0.36,0.38,0,0.0,0.0,nan
0.06,0.08,0.38,0.4,0,0.0,0.0,nan
0.06,0.08,0.4,0.42,0,0.0,0.0,nan
0.06,0.08,0.42,0.44,0,0.0,0.0,nan
0.06,0.08,0.44,0.46,0,0.0,0.0,nan
0.06,0.08,0.46,0.48,0,0.0,0.0,nan
0.06,0.08,0.48,0.5,0,0.0,0.0,nan
0.06,0.08,0.5,0.52,0,0.0,0.0,nan
0.06,0.08,0.52,0.54,0,0.0,0.0,nan
0.06,0.08,0.54,0.56,0,0.0,0.0,nan
0.06,0.08,0.56,0.58,0,0.0,0.0,nan
0.06,0.08,0.58,0.6,0,0.0,0.0,nan
0.06,0.08,0.6,0.62,0,0.0,0.0,nan
0.06,0.08,0.62,0.64,0,0.0,0.0,nan
0.06,0.08,0.64,0.66,0,0.0,0.0,nan
0.06,0.08,0.66,0.68,0,0.0,0.0,nan
0.06,0.08,0.68,0.7000000000000001,0,0.0,0.0,nan
0.06,0.08,0.7000000000000001,0.72,0,0.0,0.0,nan
0.06,0.08,0.72,0.74,0,0.0,0.0,nan
0.06,0.08,0.74,0.76,0,0.0,0.0,nan
0.06,0.08,0.76,0.78,0,0.0,0.0,nan
0.06,0.08,0.78,0.8,0,0.0,0.0,nan
0.06,0.08,0.8,0.8200000000000001,0,0.0,0.0,nan
0.06,0.08,0.8200000000000001,0.84,0,0.0,0.0,nan
0.06,0.08,0.84,0.86,0,0.0,0.0,nan
0.06,0.08,0.86,0.88,0,0.0,0.0,nan
0.06,0.08,0.88,0.9,0,0.0,0.0,nan
0.06,0.08,0.9,0.92,0,0.0,0.0,nan
0.06,0.08,0.92,0.9400000000000001,48,0.0004146931980178802,41.46931980178802,1.0141331082385632
0.06,0.08,0.9400000000000001,0.96,78,0.0007566018247735669,75.66018247735668,0.2689975328584632
0.06,0.08,0.96,0.98,76,0.0007173971572572253,71.73971572572253,0.5029893079541646
0.06,0.08,0.98,1.0,79,0.0008210515223130435,82.10515223130434,-0.3426870486031201
0.08,0.1,0.0,0.02,0,0.0,0.0,nan
0.08,0.1,0.02,0.04,0,0.0,0.0,nan
0.08,0.1,0.04,0.06,0,0.0,0.0,nan
0.08,0.1,0.06,0.08,0,0.0,0.0,nan
0.08,0.1,0.08,0.1,0,0.0,0.0,nan
0.08,0.1,0.1,0.12,0,0.0,0.0,nan
0.08,0.1,0.12,0.14,0,0.0,0.0,nan
0.08,0.1,0.14,0.16,0,0.0,0.0,nan
0.08,0.1,0.16,0.18,0,0.0,0.0,nan
0.08,0.1,0.18,0.2,0,0.0,0.0,nan
0.08,0.1,0.2,0.22,0,0.0,0.0,nan
0.08,0.1,0.22,0.24,0,0.0,0.0,nan
0.08,0.1,0.24,0.26,0,0.0,0.0,nan
0.08,0.1,0.26,0.28,0,0.0,0.0,nan
0.08,0.1,0.28,0.3,0,0.0,0.0,nan
0.08,0.1,0.3,0.32,0,0.0,0.0,nan
0.08,0.1,0.32,0.34,0,0.0,0.0,nan
0.08,0.1,0.34,0.36,0,0.0,0.0,nan
0.08,0.1,0.36,0.38,0,0.0,0.0,nan
0.08,0.1,0.38,0.4,0,0.0,0.0,nan
0.08,0.1,0.4,0.42,0,0.0,0.0,nan
0.08,0.1,0.42,0.44,0,0.0,0.0,nan
0.08,0.1,0.44,0.46,0,0.0,0.0,nan
0.08,0.1,0.46,0.48,0,0.0,0.0,nan
0.08,0.1,0.48,0.5,0,0.0,0.0,nan
0.08,0.1,0.5,0.52,0,0.0,0.0,nan
0.08,0.1,0.52,0.54,0,0.0,0.0,nan
0.08,0.1,0.54,0.56,0,0.0,0.0,nan
0.08,0.1,0.56,0.58,0,0.0,0.0,nan
0.08,0.1,0.58,0.6,0,0.0,0.0,nan
0.08,0.1,0.6,0.62,0,0.0,0.0,nan
0.08,0.1,0.62,0.64,0,0.0,0.0,nan
0.08,0.1,0.64,0.66,0,0.0,0.0,nan
0.08,0.1,0.66,0.68,0,0.0,0.0,nan
0.08,0.1,0.68,0.7000000000000001,0,0.0,0.0,nan
0.08,0.1,0.7000000000000001,0.72,0,0.0,0.0,nan
0.08,0.1,0.72,0.74,0,0.0,0.0,nan
0.08,0.1,0.74,0.76,0,0.0,0.0,nan
0.08,0.1,0.76,0.78,0,0.0,0.0,nan
0.08,0.1,0.78,0.8,0,0.0,0.0,nan
0.08,0.1,0.8,0.8200000000000001,0,0.0,0.0,nan
0.08,0.1,0.8200000000000001,0.84,0,0.0,0.0,nan
0.08,0.1,0.84,0.86,0,0.0,0.0,nan
0.08,0.1,0.86,0.88,0,0.0,0.0,nan
0.08,0.1,0.88,0.9,0,0.0,0.0,nan
0.08,0.1,0.9,0.92,46,0.0004213344248452273,42.13344248452273,0.5956772344548806
0.08,0.1,0.92,0.9400000000000001,72,0.0007825863517089137,78.25863517089137,-0.7074789157601041
0.08,0.1,0.9400000000000001,0.96,57,0.0007181414412192443,71.81414412192443,-1.7481213260344302
0.08,0.1,0.96,0.98,85,0.0007374256834021608,73.74256834021608,1.310932074677752
0.08,0.1,0.98,1.0,74,0.0008407666144162895,84.07666144162896,-1.0989525426288402
0.1,0.12,0.0,0.02,0,0.0,0.0,nan
